"Year","LGA","Contamination_rate"
"2014","Campaspe",0
"2014","Cardinia",0
"2014","Casey",0
"2014","Central Goldfields",5.01
"2014","Colac Otway",8
"2014","Corangamite",0.02
"2014","Darebin",0
"2014","East Gippsland",8.68
"2014","Frankston",8.51
"2014","Gannawarra",0
"2014","Glen Eira",0
"2014","Glenelg",23.61
"2014","Golden Plains",0
"2014","Greater Bendigo",8.67
"2014","Greater Dandenong",0
"2014","Greater Geelong",0
"2014","Greater Shepparton",0
"2014","Hepburn",0
"2014","Hindmarsh",18
"2014","Hobsons Bay",3.53
"2014","Horsham",20.46
"2014","Hume",10.22
"2014","Indigo",0
"2014","Kingston",5.84
"2014","Knox",2.94
"2014","Latrobe",11.62
"2014","Loddon",0
"2014","Macedon Ranges",0
"2014","Manningham",0
"2014","Mansfield",8.7
"2014","Maribyrnong",0
"2014","Maroondah",0
"2014","Melbourne",13.6
"2014","Melton",7.5
"2014","Mildura",0
"2014","Mitchell",0
"2014","Moira",0
"2014","Monash",0
"2014","Moonee Valley",10
"2014","Moorabool",7.36
"2014","Moreland",14.59
"2014","Mornington Peninsula",0
"2014","Mount Alexander",9.98
"2014","Moyne",100
"2014","Murrindindi",0
"2014","Nillumbik",0
